id;placed_date;status;code;customer_id
1;2019-11-21T16:40:39;COMPLETED;Table quantify;1
2;2019-11-21T12:24:29;PENDING;quantify;2
3;2019-11-21T23:35:34;CANCELLED;compress Fantastic Global;3
4;2019-11-21T19:38:46;CANCELLED;streamline;4
5;2019-11-22T07:30:43;CANCELLED;Applications Missouri deposit;5
6;2019-11-21T21:00:34;COMPLETED;Danish Krone parse;6
7;2019-11-21T12:46:28;COMPLETED;Austria mindshare EXE;7
8;2019-11-21T23:21:00;PENDING;Refined Practical Algerian Dinar;8
9;2019-11-22T06:01:32;COMPLETED;Intelligent Planner;9
10;2019-11-21T22:47:23;CANCELLED;navigate repurpose;10
