id;tracking_code;date;details;invoice_id
1;Buckinghamshire;2019-11-21T22:42:02;system Triple-buffered;1
2;Cotton;2019-11-21T19:56:57;Tools;2
3;Arizona hack;2019-11-21T13:21:35;quantifying;3
4;synthesize Idaho Markets;2019-11-21T22:46:31;asymmetric EXE;4
5;web services;2019-11-21T12:31:18;Strategist;5
6;Incredible Fresh Car Tuvalu;2019-11-21T07:56:28;Gorgeous Rubber Chicken Associate Central African Republic;6
7;magenta heuristic;2019-11-21T07:52:21;Naira iterate;7
8;Unbranded Plastic Chips Brand Regional;2019-11-21T20:50:11;Money Market Account;8
9;Mouse;2019-11-21T16:14:52;facilitate Persevering;9
10;Fantastic;2019-11-21T08:23:13;Architect;10
